,MUNICNAME,lat,long
0,!Kheis Local Municipality,-29.232658016302533,21.603562775173156
1,//Khara Hais Local Municipality,-27.695926477926953,21.30790996783422
2,Abaqulusi Local Municipality,-27.83420521010683,31.051590186643242
3,Aganang Local Municipality,-23.663042503630937,29.078876013916936
4,Albert Luthuli Local Municipality,-26.055659215435004,30.486023915420226
5,Amahlathi Local Municipality,-32.48918985409754,27.351516187384494
6,Ba-Phalaborwa Local Municipality,-23.77585875380681,31.193030500450686
7,Baviaans Local Municipality,-33.280587463368036,23.7909687730305
8,Beaufort West Local Municipality,-32.27710950336537,22.746542364790983
9,Bela-Bela Local Municipality,-24.954035599926154,28.272025593660164
10,Bergrivier Local Municipality,-32.787492869446815,18.67279519244341
11,Bitou Local Municipality,-33.937355597794365,23.40708121026098
12,Blouberg Local Municipality,-22.950776689480293,28.74225404415745
13,Blue Crane Route Local Municipality,-32.778160968279266,25.41308680240388
14,Breede Valley Local Municipality,-33.57188297735593,19.699457013881652
15,Buffalo City Metropolitan Municipality,-32.951409520069745,27.611635956311236
16,Bushbuckridge Local Municipality,-24.55681181990853,31.524491609740604
17,Camdeboo Local Municipality,-32.3730910830334,24.163262073367758
18,Cape Agulhas Local Municipality,-34.49813056712576,20.058055887137304
19,Cederberg Local Municipality,-32.25674181208736,18.92425268668117
20,City of Cape Town Metropolitan Municipality,-33.89266951881522,18.594184814645317
21,City of Johannesburg Metropolitan Municipality,-26.176733047037622,27.963525221292215
22,City of Matlosana Local Municipality,-26.811586278866084,26.48452130560051
23,City of Tshwane Metropolitan Municipality,-25.659851429130878,28.44343321692017
24,Dannhauser Local Municipality,-28.004865373576145,30.019382359408084
25,Dihlabeng Local Municipality,-28.36150797303416,28.29511835907626
26,Dikgatlong Local Municipality,-28.193325949991102,24.19219108605454
27,Dipaleseng Local Municipality,-26.783694693367522,28.638669157814018
28,Ditsobotla Local Municipality,-26.109474260621244,26.240545214474235
29,Dr JS Moroka Local Municipality,-25.10388275810445,28.80147234771022
30,Drakenstein Local Municipality,-33.59678087006432,19.003063983582017
31,Ekurhuleni Metropolitan Municipality,-26.198902278999995,28.312615976600068
32,Elias Motsoaledi Local Municipality,-25.19595870993506,29.561621997414175
33,Elundini Local Municipality,-30.923754161925956,28.335807968180383
34,Emadlangeni Local Municipality,-27.617907330589954,30.321232040061865
35,Emakhazeni Local Municipality,-25.59692123754274,30.106821848790695
36,Emalahleni Local Municipality,-29.22945458359963,28.028786343997986
37,Emfuleni Local Municipality,-26.628372404199286,27.78119575060719
38,Emnambithi/Ladysmith Local Municipality,-28.4157262455976,29.766401705430372
39,Emthanjeni Local Municipality,-30.678667997057676,23.858274115137675
40,Endumeni Local Municipality,-28.170872262516493,30.29872425294702
41,Engcobo Local Municipality,-31.681331250294644,28.091140856623763
42,Ephraim Mogale Local Municipality,-24.901848125249938,29.336691696799818
43,Ethekwini Metropolitan Municipality,-29.805474309612347,30.85062486394583
44,Ezingoleni Local Municipality,-30.7427749790401,30.163414659506866
45,Fetakgomo Local Municipality,-24.40635748738226,29.883476078018568
46,Ga-Segonyana Local Municipality,-27.622784719935762,23.560738340652026
47,Gamagara Local Municipality,-27.640513227098985,22.99869572381483
